Ticker,Des_en,Unit_en,Des_de,Unit_de
# Australia
RBATCTR Index,RBA rate decision,%,RBA Zinsentscheidung,%
AULFEMPC Index,Employment Chance,k,Änderung Beschäftigung,Tsd.
AULFUNEM Index,Unemployment rate,%,Arbeitslosenquote,%
AUCPICHG Index,CPI,% qoq,Verbraucherpreise,% Vq.
AUCPIYOY Index,CPI,% yoy,Verbraucherpreise,% Vj.
AUCECHG Index,Capex,% qoq,Capex Private Investitionen,% Vq.
AUNAGDPC Index,GDP,% qoq,BIP,% Vq.
#Canada
CACPIYOY Index,Consumer Price Index,% yoy,Verbraucherpreise,% Vj.
CGE9ANN Index,GDP constant price,% qoq annualized (sa),Reales BIP,% Vq. annualisiert (sb.)
CANLXEMR Index,Unemployment Rate,%,Arbeitslosenquote,%
CABROVER Index,Key Rate,%,Leitzins,%
# China
CNGDPYOY Index,GDP constant price,% yoy,Reales BIP,% Vj.
CNGDPQOQ Index,GDP constant price,% qoq (sa),Reales BIP,% Vq. (sb.)
CPMINDX Index,Official manufacutring PMI,index,Einkaufsmanager Index Verarbeitendes Gewerbe (Offiziell),Index
MPMICNMA Index,Caixin (private) manufacturing PMI,index,Einkaufsmanager Index Verarbeitendes Gewerbe (Caixin),Index
CNCPIYOY Index,Consumer Price Index,% yoy,Verbraucherpreise,% Vj.
CHEFTYOY Index,Producer Price Index,% yoy,Produzentenpreise,% Vj. 
CNFREXPY Index,Exports growth,% yoy,Exportwachstum,% Vj.
CNFRIMPY Index,Imports growth ,% yoy,Importwachstum,% Vj.
CHCUCAB Index,Current Accoung Balance,"USD, mln",Leistungsbilanz,Mio. USD
CNLNNEW Index,New yuan loans,"CNY, bln",Neue Renminbi Kredite,Mrd. CNY
CNLNASF Index,Aggregate financing,"CNY, bln",Gesamtfinanzierung,Mrd. CNY
CNMS2YOY Index,M2 money supply,% yoy,M2 Geldmenge,% Vj.
CHVAIOY Index,Industrial Production,% yoy,Industrieproduktion,% Vj.
CNRSCYOY Index,Retail sales,% yoy,Einzelhandelsumsätze,% Vj.
CNFAYOY Index,Fixed asset investment (urban),"% yoy, year to date",Anlageinvestitionen (urban),% Vj. seit Jahresbeginn
CNGFOREX Index ,FX Reserves,USD bln,Devisenreserven,Mrd. USD
# Czech Republic
MPMICZMA Index,Markit Manufacturing PMI,"diffusion index, sa",Markit PMI Verarbeitendes Gewerbe,"Diffusionsindex, sb"
CZCPMOM  Index,Consumer price index,% mom ,Verbraucherpreisindex,% Vm.
CZCPYOY  Index,Consumer price index,% yoy,Verbraucherpreisindex,% Vj.
CZARANN  Index,CNB interest rate decision ,% p.a.,CNB Zinsentscheid,% p.a.
CZGDPSAQ Index,gross domestic product,% qoq,Bruttoinlandsprodukt,% Vq.
CZGDPSAY Index,gross domestic product,% yoy,Bruttoinlandsprodukt,% Vj.
# Japan
BOJDPBAL Index,BoJ interest rate decision,%,Zinsentscheidung,%
BOJDPRLT Index,BoJ 10-yr yield target,%,10J-Renditeziel der BoJ,%
JNCPIYOY Index,Consumer Price Index,% yoy,Konsumentenpreise,% Vj.
JNCPIXFF Index,Consumer Price Index ex. Fresh Food,% yoy,Konsumenpreise ohne frische Lebensmittel,% Vj.
JGDPQGDP Index,Real GDP,"% qoq, sa",Reales BIP,"% Vq., sb."
